Rank,Username,Name,Category,Followers,Country,Eng.(Auth.),Eng.(Avg.)
1,vindiesel,Vin Diesel,Cinema & Actors/actresses,102.7M,United States,426.3K,533.8K
2,jlo,Jennifer Lopez,MusicCinema & Actors/actresses,253.6M,United States,127.1K,187.2K
3,cznburak,Burak Özdemir,Food & Cooking,54.6M,Turkey,333.5K,423.7K
4,kanyewest,Ye,Lifestyle,19.6M,United States,638.8K,1.2M
5,emrata,Emily Ratajkowski,Modeling,30.1M,United States,528.1K,730.2K
6,hannahstocking,Hannah Stocking,Modeling,26.4M,United States,584.7K,761.9K
7,vladimirshmondenko,VLADIMIR1 & mr ANATOLY,Fitness & Gym,11.7M,Russia,1M,1.3M
8,hakkiakdenizz,hakki akdeniz,Business & Careers,32.4M,Turkey,261.9K,429.1K
9,gusein.gasanov,ГУСЕЙН ГАСАНОВ,Shows,28.1M,Russia,373.6K,519.5K
10,tatawerneck,Tata Werneck,Cinema & Actors/actressesFamily,57.2M,Brazil,161.2K,242.2K
11,otabek_muhammadalievich,Otabek Umarov,,31.5M,Russia,278K,428K
12,kashikakapoor09,Kashika Kapoor,BeautyLifestyleCinema & Actors/actresses,17.6M,India,179.1K,414.3K
13,leonardodicaprio,Leonardo DiCaprio,Cinema & Actors/actresses,62.2M,United States,98.4K,117.6K
14,thenotoriousmma,Conor McGregor Official,Fitness & Gym,47.2M,United States,123.5K,152.6K
15,djeiran_han,Джейран Касымова,Family,7M,India,564.1K,1M
16,araikgalstyanmoscowschool,ARAIK GALSTYAN,Beauty,22.2M,Russia,158.7K,292.2K
17,neslihanatagul,Neslihan Atagül Doğulu,Cinema & Actors/actressesModeling,14.2M,Turkey,339K,408.7K
18,erkangndzlp,Erkan Gündüzalp,,8.2M,Russia,374.7K,646.3K
19,irinashayk,irina shayk,Modeling,23.4M,Russia,161.9K,201.5K
20,subo_m,Субо Мамедов,Shows,12.7M,Russia,307.5K,373.7K
21,evcenf,Fahriye Evcen Özçivit,LifestyleBeauty,13.8M,Turkey,254.7K,321K
22,rosiehw,Rosie HW,Modeling,19.8M,United States,163.8K,219.1K
23,schwarzenegger,Arnold Schwarzenegger,Cinema & Actors/actressesFitness & Gym,26.1M,United States,125.6K,156.6K
24,rahimabramov,Rakhim,Shows,6.1M,Russia,413.8K,659.9K
25,eilirjani,Elton ILIRJANI,Adult content,12.2M,Brazil,126.8K,296.2K
26,hasbulla.hushetskiy,Hasbulla Magomedov,Lifestyle,8.4M,Russia,328.9K,396.1K
27,adamweitsman,Adam Weitsman,Business & Careers,20.1M,United States,92.9K,160.8K
28,limitless,Jas Mathur,Business & CareersManagement & Marketing,12M,United States,100.6K,207K
29,pinchuk_official,Ирина Пинчук,,5M,Russia,396.1K,497.2K
30,mercedesbenz,Mercedes-Benz,Cars & MotorbikesLuxury,38.2M,United States,52K,63.1K
31,ler_chek,Валерия Чекалина,LifestyleBeauty,10.4M,Russia,54K,211.5K
32,ufc,UFC,Extreme Sports & Outdoor activityShows,40M,United States,45.7K,54.2K
33,borodylia,Ксения Бородина,ShowsFamily,21.1M,Russia,84.4K,102.6K
34,bmw,BMW,Cars & Motorbikes,38.3M,United States,43.9K,53K
35,islam_makhachev,Islam_Makhachev,Fitness & Gym,8.2M,Russia,206.8K,250.6K
36,brianmaps,Брайн Мапс (Макс Тарасенко),,5.9M,Russia,315.2K,345.9K
37,abdu_rozik,Abduroziq Official,MusicShows,8.4M,Tajikistan,177.5K,222.3K
38,kikakim,Kristina Kim,LifestyleMusic,8.4M,Kazakhstan,180.2K,207.2K
39,love__rose92,Liubava  Rose ❤️ 🌹,Nature & landscapesLifestyleTravel,5.9M,India,192.3K,286K
40,nazar_8888_,Nazar Babenko,,13.7M,Ukraine,61.6K,110.1K
41,urgantcom,Иван Ургант,ShowsCinema & Actors/actresses,11.9M,Russia,109.7K,123.4K
42,kvara7,Khvicha Kvaratskhelia,,3.6M,Italy,300.4K,354.6K
43,luna_the_pantera,Luna,LifestyleAnimals,4.8M,Russia,203.1K,259.6K
44,adidas,adidas,Clothing & OutfitsFitness & Gym,28.7M,United States,34.1K,42.4K
45,wengallbi_tm,Ахмед Алиасхабов,Cars & Motorbikes,4.7M,Russia,216.9K,261.7K
46,carolinederpienski,CAROLINE MARIA DERPIENSKI,Modeling,8.4M,Russia,36.4K,145.2K
47,tiabajpai,Tia Bajpai,Cinema & Actors/actresses,6.3M,India,107.2K,185.4K
48,andreybatt,ANDREY BATT,,10.9M,Russia,89K,104.1K
49,karna.val,🖤Valentina🖤,Lifestyle,7.4M,Russia,129.3K,149.3K
50,khamzat_chimaev,Khamzat Chimaev,Trainers & CoachesFitness & GymSports with a ball,7.8M,Russia,113.4K,138.5K
